user_name,anime_id,title,url,score
mattslist,5114,Fullmetal Alchemist: Brotherhood,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,8
mattslist,34280,Gamers!,https://myanimelist.net/anime/34280/Gamers,8
mattslist,239,Gankutsuou: The Count of Monte Cristo,https://myanimelist.net/anime/239/Gankutsuou,4
mattslist,28907,GATE,https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri,4
mattslist,31637,GATE Part 2,https://myanimelist.net/anime/31637/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri_Part_2,4
mattslist,33783,Godzilla: Planet of the Monsters,https://myanimelist.net/anime/33783/Godzilla_1__Kaijuu_Wakusei,3
mattslist,17895,Golden Time,https://myanimelist.net/anime/17895/Golden_Time,5
mattslist,37105,Grand Blue Dreaming,https://myanimelist.net/anime/37105/Grand_Blue,9
mattslist,40052,Great Pretender,https://myanimelist.net/anime/40052/Great_Pretender,7
mattslist,31859,Grimgar: Ashes and Illusions,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar,7
mattslist,10793,Guilty Crown,https://myanimelist.net/anime/10793/Guilty_Crown,6
mattslist,2001,Gurren Lagann,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann,7
mattslist,10719,Haganai: I don't have many friends,https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai,5
mattslist,14967,Haganai: I don't have many friends NEXT,https://myanimelist.net/anime/14967/Boku_wa_Tomodachi_ga_Sukunai_Next,5
mattslist,20583,Haikyu!!,https://myanimelist.net/anime/20583/Haikyuu,9
mattslist,28891,Haikyu!! 2nd Season,https://myanimelist.net/anime/28891/Haikyuu_Second_Season,9
mattslist,32935,Haikyu!! 3rd Season,https://myanimelist.net/anime/32935/Haikyuu_Karasuno_Koukou_vs_Shiratorizawa_Gakuen_Koukou,9
mattslist,40262,Haikyu!! Land vs. Air,https://myanimelist.net/anime/40262/Haikyuu_Riku_vs_Kuu,9
mattslist,52742,Haikyu!! Movie: The Dumpster Battle,https://myanimelist.net/anime/52742/Haikyuu_Movie__Gomisuteba_no_Kessen,9
mattslist,38883,Haikyu!! To the Top,https://myanimelist.net/anime/38883/Haikyuu_To_the_Top,9
